,Position,Company,City,State.Name,Job.Description,Employment.Type,Education.Required
7538,Registered Nurse (RN) - Part Time - Per Diem * - NURSING: LDRP / WOMEN'S HEALTH,Parallon Workforce Solutions,New Orleans,Louisiana," Unit: Labor and Delivery / Post Partum / Recovery   Flexible Per Diem RN Jobs Available Now at Multiple Facilities in the Area!   - Competitive Pay Rate  - First Called / Last Canceled  - 401k w/ Company Match  - Weekly Pay / Direct Deposit    Looking for a challenge and rewarding career? Can you accept change, adapt well, fit in, and be independent? If you are a nurse with flexibility and motivation to Expand Your Experience, look no further. If you consider yourself a seasoned, clinically competent nurse with critical thinking skills and people skills who can hit the ground running we want to hear from you.   Requirements:   - Graduate from an accredited school  - Minimum one year acute care experience in a Hospital setting  - Current State Licensure  - Appropriate certifications for position you are applying for    Parallon Workforce Solutions is uniquely positioned to provide Healthcare Professionals exceptional Career Opportunities across the US!    Flexibility  Nothing can match the flexibility that comes with per diem shifts. Schedule your work around what's important to you instead of the other way around.    Higher Pay  Per Diem shifts are paid at a higher rate. The flexibility to pick up shifts as needed, combined with higher wages allows you to maximize your earning potential.    Expand Your Experience  Having the opportunity to work in multiple facilities will expose you to new coworkers and patients, ultimately broadening your career experience.  PI87415591",Per Diem,Not Specified
12202,Membership Coordinator,OfficeTeam,White Plains,New York,"Ref ID: 02970-110567Classification: General Office ClerkCompensation: $10.00 to $12.00 per hourInnovative real estate organization in White Plains is looking to add a Membership Coordinator to their winning team! This is an excellent opportunity for someone who wants to jump start their career in a booming industry! Membership Coordinator will be working with a team of 2 executives to organize and maintain meeting/membership rosters, take meeting minutes, compose and send follow up emails, maintain prospect Microsoft Excel spreadsheet, and act as the point person for the organization. Will also have the opportunity to attend company events! Membership Coordinator must be proficient with Microsoft Office, show efficiency and organization skills, as well as professional customer service etiquette. For immediate consideration, please email your resume in Microsoft Word format ONLY to [Click Here to Email Your Resumé]!",Seasonal/Temp,Not Specified
11056,A/R Represntative,OfficeTeam,Denver,Colorado,"Ref ID: 00624-000129Classification: Customer ServiceCompensation: $14.25 to $15.00 per hourClient in Glendale area looking for a Customer Service Individual to join their team! Candidate should have experience with patient and physician interface, insurance verification, high attention to detail, knowledge of healthcare plans and light collections. This is long term role that could turn into a position for the right candidate. The Accounts Receivable Representative should have at least 1 year in the Receivables within the healthcare industry. This opportunity will start immediately and wont last long! Please email your [Click Here to Email Your Resumé]",Seasonal/Temp,Not Specified
31011,Administrative Assistant,OfficeTeam,New Berlin,Wisconsin,"Ref ID: 04610-106982Classification: Secretary/Admin AsstCompensation: $9.98 to $11.55 per hourOfficeTeam is looking for a part-time administrative professional to support a local automotive company. This individual will be helping with answering & routing calls, filling, scanning, faxing of necessary materials as well as mail distribution. Familiarity with Microsoft Excel is a plus as this individual will be entering data into and running reports in this software. Light experience with accounts payable vouchers will be preferred as this individual may be answering questions about this information. For immediate consideration, please apply at www.officeteam.com or send an updated resume to [Click Here to Email Your Resumé].",Seasonal/Temp,Not Specified
59485,Sales Support Administrator,OfficeTeam,Haverhill,Massachusetts,"Ref ID: 03970-003469Classification: Secretary/Admin AsstCompensation: $13.66 to $15.66 per hourLarge Manufacturer in Methuen is looking to add a dedicated Sales Support Administrator to their team. The Sales Support Administrator will assist the sales and marketing team. The right Sales Support Administrator will have strong organizational skills, attention to detail, and a high level of service and efficiency. Some of the essential duties will include; - Customer Promotion Administration - Customer File Maintenance - 12-week calendar mapping for customer promotion schedule. - Reporting estimated production - Assisting in any ad hoc projects. Requirements: -Must have strong excel skills (V-look ups, Pivots), Must have a Bachelors Degree, 8+ years experience in an administrative/ sales support role. This is a temporary to full-time position with a permanent salary upwards of $30,000-$35,000. If you are interested, please contact via email with your resume @ [Click Here to Email Your Resumé] or call 603-889-2709.",Seasonal/Temp,Not Specified
17175,Lube Technician ( Automotive I Maintenance ),Jiffy Lube,Bellingham,Washington,"Do you love cars and enjoy helping people with theirs? Here is your opportunity start a&nbsp;career doing what you love! We are Heartland Automotive Services, Inc., and we are seeking LubeTechnician to function in the role of our Lube Technician for our franchise. This position reports to the Store Manager.

This is an excellent opportunity to demonstrate your ""Guest First"" mentality as you will be responsible for providing quick lube and additional associated services in a professional and courteous manner to our valued guests. In this role, your various duties include providing Courtesy Services, engaging in Upper and Lower Bay duties and participating in Curbside Marketing. We are growing and this is your chance to learn, earn and grow a career with us!

Our ""A Player"" will have a great ""can do"" attitude, be detailed oriented, committed to ""quality"" work and must have a ""guest focused"" attitude to ensure a wonderful experience. You must be comfortable speaking with guests about their vehicle in an easy to understand manner, must have an aptitude for mechanical work, and be eager to learn new skills and grow your knowledge base.

We are a dynamic organization that provides a competitive total compensation package which includes a comprehensive employee benefits program. Your new career success begins here!



Lube Technician I Service Technician (Automotive / Maintenance)



The Lube Technician will be responsible for Courtesy Services such as greeting guests and escorting them to the lounge area and driving guest's vehicle in and out of the bay areal Upper Bay duties include checking and communicating oil level, checking tire for proper inflation and checking fluid level and Lower Bay duties include completing under vehicle inspection, installing new oil drain plug and new oil filter, and wiping fittings and lubricate. In addition, following certification as directed by store&nbsp;management, you may be acting as a Guest Service Advisor, Team Lead and/or participating in State Inspections.

Additional responsibilities for the Lube Technician include:
&bull; Following all Heartland Automotive Services and Lube policies and procedures
&bull; Driving License
&bull; Backgrance
&bull; Participating in Curbside Marketing by holding advertising signs, wearing sandwich board or engaging in any other form of curbside marketing to attract guests for immediate service
&bull; Completing all required computer-based training and other on the job training within the required timeframe
&bull; Reporting for shift on time and dressed in proper uniform including Personal Protective Equipment (PPE), slip resistant shoes and good hygiene
&bull; Maintaining clean and safe work environment, including using all safety equipment and following all safety procedures
&bull; Greeting all guests within 5 feet, in a professional, pleasant manner
&bull; Attending store meetings, including monthly safety meetings



Lube Technician I Service Technician (Automotive / Maintenance)





",Part-Time,Not Specified
60182,Accounts Payable Clerk,Accountemps,Hazleton,Pennsylvania,"Ref ID:03700-104974Classification:Accounts Payable ClerkCompensation:$13.10 to $15.17 per hourAccounts Payable Clerk is needed for an established company in Hazleton. The Accounts Payable Clerk will be responsible for overseeing accounts payable functions, assists Staff Accountants with month-end accruals, cash cut-offs, variance analysis, and entering invoices into ERP system. Accounts Payable Clerk with 3+ years of accounts payable is required. Bachelor's degree preferred.",Seasonal/Temp,Not Specified
2842,Staff Tax Accountant,"Frost & Company, P.S.",Olympia,Washington,"Frost &amp; Company, P.S., a local CPA firm is seeking a seasonal tax professional in our Olympia office to prepare&nbsp;personal, corporate and partnership tax returns of varying complexities.

Cover letter, resume and references required.
",Seasonal/Temp,Not Specified
62152,Retail Sales Associates (P/T),"Vitamin World, Inc.",Orland Park,Illinois,"We have IMMEDIATE OPENINGS for RETAIL SALES ASSOCIATES (Part-time positions available) with previous specialty store retail sales experience, a must, and excellent customer service skills, to work at our Vitamin World retail store located at the Lowe's Orland Park Development (job id#: 2011- 3153 P/T), in Orland Park, IL.  
 
Preferably knowledgeable in nutritional supplements and/or health nutrition, but not required. We are looking for upbeat, energetic and performance driven individuals to join our team! 

Please submit your resume, if you are interested in this exciting opportunity, by sending it via email to: [Click Here to Email Your Resumé].
 

Summary: The position requires the enthusiasm to provide customers with an exceptional World Class Customer Experience by building relationships with customers and having the desire to want to enrich their lives by helping them meet their health goals. Candidates must be team players, enjoy selling, have excellent communication skills, and perform the duties and responsibilities of the position. 


Essential Duties and Responsibilities include the following. Other duties may be assigned to meet business needs. 

    To assist customers promptly - within 15 seconds - to make the customers feel welcomed within the store.
    Exceed all personal sales goals.
    Develop and maintain a professional and courteous relationship with customers and co-workers.
    Operate the cash register, accept payment, make change, provide receipts and bag merchandise for customers.
    Exchange names with customers, determine their needs, and use various resources to educate customers and assist them in choosing the right selections.
    Participate in learning and development activities such as store meetings, training sessions and courses, and other training materials such as the use of scripts to learn the Vitamin World selling process.
    Collaborate with the store team to support and achieve the goals of the store and Vitamin World.
    Clean fixtures, shelves, baskets, backroom, bathroom and floor according to company policy as directed by the Store Manager, Assistant Store Manager and the District Manager.
    Stock, display and rotate products according to the company’s direction.
    Assist the Store Manager or Assistant Store Manager in the implementation of merchandising and operational procedures.
    Document the return of damaged, discontinued or expired products.
    Operate the cash register, accept payment, make change, provide receipts and bag merchandise for customers.
    Balance the cash register at the end of each shift or as scheduled.
    Follow management direction in completing other duties as required. 

 ",Part-Time,Not Specified
51910,Retail Sales Associate - Part Time,MarketSource,North Charleston,South Carolina,"Retail Sales Associate - Part-TimeMarketSource is currently searching for a part-time Retail Sales Associate to work within our partner, Target Mobile. This is a part-time position, designed to increase sales and revenue of wireless products and services through direct selling within our partners national retail locations.
Responsibilities:
Sales:

Driving sales productivity and customer satisfaction within Target Mobile retail locations on various Wireless products, accessories and services to customers
Engaging in side-by-side selling with retail associates
Participating in in-store promotions, and coordinating with appropriate personnel
Participating in wireless sales events in Target locations
Positioning Target Mobile's value, including but not limited to:              

Training: 


Maintaining sound knowledge of multiple carriers wireless products and services
Attending requested training sessions and conference calls
Reviewing new product and service offerings from Target


Relationship Development:

Establishing and managing critical relationships within Target Mobile
Developing and managing positive business relationships with retail store management and employees

Requirements:

Must be 18 years or older
Excellent communication skills
Flexibility to work weekends
Proven self-starter
",Part-Time,Not Specified
62750,Medical Insurance Claims Specialist,Accountemps,Reno,Nevada,"Ref ID:03110-118624Classification:Accounting - MedicalCompensation:$11.88 to $13.75 per hourAccountemps is currently recruiting for several Insurance Claims specialists. If you have 1+ years experience in the healthcare industry, and have hands on experience with insurance verification, and or insurance claims background, we would like to speak you immediately in regards to the several employment opportunities that we are recruiting for. Please call Accountemps at 775-828-0969.",Seasonal/Temp,Not Specified
10158,**BILLING / OFFICE ASSISTANT**  PART-TIME,"DREISBACH WHOLESALE FLORISTS, INC.",Queen City,Ohio,"Dreisbach Wholesale Florists, Inc.
Providing over 100 Years of&nbsp;Outstanding Service &amp; Dedication to the Floral Industry
&nbsp;


BILLING / OFFICE ASSISTANT (PART-TIME)
&nbsp;
&nbsp;We have an EXCELLENT opportunity available for a highly motivated individual who enjoys a fast paced work environment and can work effectively as a Team Player.
&nbsp;
&nbsp;
Responsibilities: 
&nbsp;
The position will be responsible for providing general office support to the Office Manager, with a heavy emphasis on Billing.  Additional duties will include answering/routing company telephone calls, customer service, data entry, report generation, file maintenance, mail sorting, and other clerical duties/projects, as assigned.  
&nbsp;
Qualifications: 
&nbsp;
Qualified candidates will have, at minimum, 1 year similar work experience, H.S. Diploma or equivalent, excellent communication skills, with extreme accuracy and attention to detail.  In addition, organizational skills, the ability to manage multiple projects and work in a fast paced environment are required.  Basic to Intermediate proficiency in Microsoft Excel &amp; Word ( &amp; Outlook, preferred.)  
&nbsp;
Work Hours: 
&nbsp;
The typical schedule will be approximately 20-30 hours per week, 3-4 days/week including Saturdays, starting at 6AM.  Must be able to work a Full Time schedule when Office Manager is out of the office and during the holiday/busy seasons.  
&nbsp;
&nbsp;
About Our Company: 
&nbsp;
Established in 1911, Dreisbach Wholesale Florists is a leading distributor of premium fresh cut flowers and floral supplies.  We offer an extensive product line including fresh cut and silk flowers, potted plants, vases, holiday d&eacute;cor, novelties, designer tools, and more.  
&nbsp;
Over the years, Dreisbachs has earned wide recognition for its superior quality, diversification, and outstanding customer service.  It is with these attributes that we have grown to become one of the most prominent wholesale florists in our region.  With five branch locations, we proudly serve clients in the areas of Kentucky, Indiana, Ohio, and West Virginia.  
&nbsp;
After one year of employment, Part Time Employees are offered the following Benefits in addition to their compensation plan: 
&nbsp;
&bull;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 401(k) Retirement Savings Plan, with a generous Company Match
&bull;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Paid Time Off
&bull;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Paid Holidays
&nbsp;
&nbsp;
Send Resume with Salary Requirements to:
&nbsp;
Dreisbach Wholesale Florists
720 Dalton Avenue
Cincinnati, OH 45203
FX (513) 421-8177 
&nbsp;
Email: [Click Here to Email Your Resumé]
&nbsp;
&nbsp;
&nbsp;
www.dreisbachs.com
&nbsp;
&nbsp;
Come see how your career can blossom
with Dreisbach Wholesale Florists!
&nbsp;
&nbsp;
&nbsp;
&nbsp;
&nbsp;
key words: billing, administrative, coding, accounts receivable, accounting, data entry, biller, clerical, office, clerk, assistant, support, reception 
&nbsp;",Part-Time,High School Diploma
39800,Accounting Associate,Accountemps,Cedar Rapids,Iowa,"Ref ID:01520-9736049Classification:Accounting ClerkCompensation:$11.00 to $13.70 per hourEntry level accounting associate needed for Cedar Rapids office. Assist the accounting department with all areas including accounts payable, accounts receivable, payroll, and general clerical duties. The ideal candidate will have at least a 2-year degree in accounting and be looking to gain experience with a great company. Strong attention to detail and critical thinking abilities, along with excellent communication skills will help to recommend you for this role. Apply now--don't miss out on this great ongoing opportunity with Accountemps!",Seasonal/Temp,Not Specified
18608,Program Therapist,Mission Community Hosp,Panorama City,California,"The Program Therapist provides quality patient care to adult and geriatric psychiatric populations by conducting group and individual sessions and documenting outcomes appropriately and legally This position is responsible for psychological assessments and evaluations on all assigned patients. The Program Therapist serves as patient case manager and a member of the multidisciplinary team.  The Program Therapist complies with established policies and procedures and provides direct patient care according to established treatment plans for individual patient needs and the ability to relate in a therapeutic and professional manner.  This position will be responsible for the performance improvement of the program by gathering designated data and reporting findings, as requested, to the Program Administrator.The Program Therapist must be able to maintain effective professional communications in both verbal and written form with all department administrators, medical staff, employees, patients, families and supervisors.  This position will assist with the accurate, legal, and timely completion of assessments, reports, forms, and documents.",Per Diem,Not Specified
17921,Multifamily Project Manager,GPAC,Dallas,Texas,"A highly recognized national General Contractor is looking to hire a Project Manager AND a Sr. Project Manager immediately for their office located in Dallas, TX specifically for their Multifamily Division. They perform work in many areas and have been in business for many decades and offer a competitive earnings package, full benefits (easily one of the best benefits packages that I've seen in 14 years of doing this business), retirement options, and other incentives. Again, both of these positions are specifically for their Multifamily Division building apartment complexes and both are immediate! The ideal candidates will have strong communication skills with a solid presentation and management experience for the Sr. PM position. The Sr. PM will be responsible for the overall direction, completion, and financial outcome of all construction projects. Directs and supervises activities related to contract administration, change orders, submittals, procurement, project financial projections, and schedule requirements to ensure projects are completed on time and on budget.  Arranging interviews starting this week and into next week. I can promise anyone that would have a sincere interest in either of these positions that it would not be a waste of time. We know this company extremely well and believe that they are a ""top-shelf"" company with solid leadership and a well-respected brand.   Apply today by sending your resume, references, and project list for consideration. All qualified candidates of interest will be contacted and given further information. Thank You!  GPAC (Growing People and Companies) is an award winning search firm specializing in placing quality professionals within multiple industries across the United States over the past 24 years. We are extremely competitive, client-focused and realize that our value is in our ability to deliver the right solutions at the right time ",Full-Time/Part-Time,Bachelor's Degree
70427,Accounts Payable Clerk,Accountemps,Millstone Township,New Jersey,"Ref ID:02760-122382Classification:Accounts Payable ClerkCompensation:DOEA biotech company located in Mercer County is looking for a temporary Accounts Payable Coordinator reporting to the Vice President of Finance and Accounting. This Accounts Payable Coordinator would be responsible for receiving and sorting incoming mail, matching, batching and coding of invoices, managing all purchase orders, the data entry of up to 500 invoices per month, the maintenance of vendor files and other ad hoc duties.",Seasonal/Temp,Not Specified
73859,"Patient Support Technician Facility: St. Joseph Mercy Oakland Location: Pontiac, MI",Saint Joseph Mercy Health System,Pontiac,Michigan,"
    
    High School Diploma/GED
    
    Accountability Objectives:  The Patient Support Technician functions as a collaborative member of the health care team in partnership with and  under supervision of the Registered Nurse utilizing principles of Relationship-based Care, performs direct patient care  to a specific group of patients and coordinates activities which relate to the flow of unit processes.  Actively supports  the activities of the unit based shared governance council.  Promotes organizational commitment and excellence in the  patient care experience.           Minimum Education, Licensure / Certification and Experience Required.     A.      Education                    Graduation from an accredited high school or GED program or equivalent.                    Completion of one of the following:  1. Certification program which requires a Medical/Surgical rotation; 2.                     Emergency Medical Technician (EMT); 3. Equivalent work experience as defined in Section D.     B.      Licensure / Certification                    If EMT - current licensure in State of Michigan.                    Certification by an accredited Unit Secretary/Health Unit Coordinator training course or equivalent working                     experience preferred                    Current Basic Life Support (BLS) certification.     C       Special Skill / Aptitudes                    Organizational and time management skills necessary to complete responsibilities of role.                    Excellent customer service orientation  skills necessary in order to deal effectively with various levels of                     hospital personnel, outside customers and community groups.     D.      Experience                    6 months direct patient care experience within past 5 years.  OR                    Completion of one Medical/Surgical clinical rotation in a nursing educational program.  OR                    Completion of a 'Patient Care Technician' program that requires successful completion of an externship in an                     acute care facility.                    Previous Health Unit Coordinator/Unit Secretary working experience preferred.    Duties / Responsibilities:  1. Schedules diagnostic procedures and treatments.  2. Initiates and maintains patient medical records  3. Manages communication for the unit including placing and receiving calls from physicians, other  departments, and visitors.  4. Maintains an accurate patient roster/census and available ready beds.  5. Demonstrates principles of Relationship-based Care to cultivate and maintain therapeutic relationships as a  means to optimal healing and collegial functioning as an interdisciplinary care team member.  6. Provides patient care that reflects respect for patients' rights, dignity, values, culture preferences, and  expressed needs and attention to providing comfort, relieving pain, and alleviating anxiety.  7. Actively engages and participates in unit-based and other committees and iniatives that promote patient and  workplace safety, optimal patient outcomes, and satisfaction.  8. Seeks and incorporates feedback concerning improvement in one's own practice, including participation in  self-appraisal.  9. Takes personal accountability to seek out experiences in order to maintain skills and competence.  10. Integrates principles of the Personal.Connected.Journey and demonstrates Trinity Health Guiding Behaviors  to provide excellent care of self, patients, and care team members.  11. Provides basic bedside care and selected procedures under the direction and supervision of the Registered  Nurse. Including but not limited to: venipuncture, 12 lead EKG, basic blood glucose collection and  monitoring, respiratory care (i.e. Cough and deep breathing, incentive spirometry, pulse oximetry, oxygen  setup, hand held nebulizer), dressing changes, collection of vital signs, recognition of life-threatening  conditions with initial responses and reporting, emptying and measuring drainage equipment.  12. Assists with the provision of patient education under the direction of the Registered Nurse.  13. Assists with the provision of patient education under the direction of the Registered Nurse.  14. Performs activites of daily living (ADLS) appropriate to the patient's condition under the direction of and  supervision of the Registered Nurse.  15. Performs basic nutritional support to patients such as bed set up, assistance with feeding, and collection and  documentation of intake and calorie count as appropriate.  16. Assists with the admission process by collecting selected assessment data, applying necessary equipment,  labeling patient's clothes and belongings, informing patient/family of unit routines, etc.  17. Provides individualized care consistent with the plan of care under the direction and supervision of the  Registered Nurse.  18. Reports changes in patient condition to the Registered Nurse in a timely manner.  19. Performs other various duties as assigned and needed. These duties may vary depending upon the unit,  patient type and need, number and complexity of treatment provided. Additional duties may also include  non-clinical duties consistent with meeting the needs of the patient and care team.  -Demonstrates and actively promotes an understanding and commitment to the mission of St. Joseph Mercy  Oakland through performing behaviors consistent with the Trinity Health Values.    -Maintains a working knowledge of applicable Federal, State, and Local laws and regulations, the Trinity  Health Organizational Integrity Program, including the Standards of Conduct, Code of Ethics, as well as  other policies and procedures in order to ensure adherence in a manner that reflects honest, ethical and  professional behaviors.    -In accordance with unit or departmental practice, determines that appropriate charges have been entered for the  correct patient, encounter, date/time of service, with any required modifiers.  Make corrections as needed per  charge capture policy/practice.  -In accordance with unit or departmental practice, actively participates in on-going education and  communication regarding revenue management.  -In accordance with unit or departmental practice, assists with tracking and monitoring of equipment assigned  to the unit.  Requests services for maintaining equipment as needed.  -In accordance with unit or departmental practice, proficient with the electronic health records for  documentation, assessment, and care management, performing these activities concurrently with provision of  care throughout the shift.  ~CB~ 03/10/2015  MON-OAK' 
    
",Part-Time,High School Diploma
11776,Medical Receptionist Is Needed In Indiana TODAY!!!,OfficeTeam,Lawrenceburg,Indiana,"Ref ID: 03322-000120Classification: Administrative - MedicalCompensation: $10.92 to $12.65 per hourMedical Receptionist is needed in a medical facility in Lawrenceburg, Indiana for a temporary position. The Medical Receptionist will be a 40 hour work week. In this Medical Receptionist role you will be answering phone calls, scheduling appointments, taking messages, and other basic office duties. This Medical Receptionist opportunity would begin immediately! If you have experience working within the medical environment,enjoy interacting with patients in person and on the phone this could be an excellent opportunity for you! If you are available, have the required experience please call Robert Half Healthcare for immediate consideration!",Seasonal/Temp,Not Specified
63385,Retail Store Donation Attendant,Goodwill Industries,Corvallis,Oregon,"Retail Store Donation Attendant
Goodwill Industries of the Columbia Willamette 

Corvallis, OR


About Us: 
Goodwill Industries of the Columbia Willamette currently operates 44 retail stores, four outlets, two online retail locations, and nearly 60 attended donation centers. Those who work at Goodwill get more than a paycheck, they go home with a sense of pride, dignity, and a job well done. They know they are making a difference in the community.


Store Donation Attendant (SDA) 

    Perform opening duties to work station.
    Review donation area ensuring it is clean and safe work area. 
    Accept donations from the public, transferring items to the appropriate tote, cart, or basket. 
    Provide receipts to donors. 
    Assist in the maintenance of a clean retail environment by dusting furniture and/or tidying on the sales floor.
    Assist in loading and unloading trucks, trailers, and waste receptacles. 
    Represent the company by providing exemplary customer service. 
    Ensure compliance with all GICW policies, CARF standards and safety and security regulations 



",Full-Time/Part-Time,Not Specified
61677,Entry Level Financial Analyst,Accountemps,Boston,Massachusetts,Ref ID:02105-9740556Classification:Financial Analyst - Entry LevelCompensation:$15.00 to $18.00 per hour,Seasonal/Temp,Not Specified
34292,Hiring All Restaurant Positions - Servers - Cooks - Bartenders,Olive Garden,Owings Mills,Maryland,"We're All Family Here.
Olive Garden is a family of local restaurants focused on delighting every guest with a genuine Italian dining experience. We are proud to serve fresh, simple, delicious Italian food, complemented by a great glass of wine, served in a comfortable, home-like Italian setting where everyone is welcomed as family and friends




Now Hiring in Owings Mills

&bull; Servers
&bull; Server Assistants/Bussers
&bull; Hosts/Hostesses
&bull; Bartenders
&bull; Line Cooks
&bull; Prep Cooks
&bull; Dishwashers

(Apply now to select the appropriate job title link above)
 



",Full-Time/Part-Time,Not Specified
56637,Unit Coordinator RN (Multiple Positions Available),Sava Senior Care,Aberdeen,Maryland,"2nd SHIFT!!!SummaryProvides and coordinates clinical services for residents / patients in the various units and is responsible for facilitating the interdisciplinary team.Essential Duties & ResponsibilitiesAssesses and evaluates the systems which facilitate the delivery of quality resident care.Facilitates the resolution of issues and concerns associated with resident / patient care including family issues.Implements and evaluates all nursing procedures and systems relative to unit programming.Makes nursing diagnoses that serve as the basis for the strategy of care.Performs nursing assessments regarding the health status of the resident / patient.Develops a plan of care and implements nursing care based on assessment.Provides health education to patients and their families.Participates in quality assurance activities.Adheres to scope of practice limitations based on qualifications.Completes required forms and documents in accordance with company policy and state and/or federal regulations.Will perform general nursing duties in cases of emergency or staffing shortages.May function as Unit Coordinator for specialty unit, such as Alzheimer's unit, in which case additional duties may be required.Performs other duties as assigned.QualificationsGraduate of an accredited school of Nursing preferred.Valid State licensure.Physical Demands & EnvironmentMay be required to respond to critical issues on a 24/7 basis. Employee is frequently required to stand, walk, use hands or fingers, reach with hands and arms, feel, talk and hear. Employee will occasionally assist to lift and / or transfer patients weighing between 100 to 250 pounds. Employee is occasionally exposed to blood or other body fluids, fumes or airborne particles and toxic or caustic chemicals. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.We are an Equal Opportunity Employer and do not discriminate against applicants due to race, ethnicity, gender, veteran status, or on the basis of disability or any other federal, state or local protected class.",Full-Time/Part-Time,Not Specified
71549,Sales Representative / Sales Associate ( Entry Level ),Vector Marketing,Pittsburgh,Pennsylvania,"
&nbsp;
If you are eager to learn, we have an opportunity for you! Whether you are looking for part-time or full-time work that fits around YOUR schedule, have been looking for a sales position that you can feel good about, or just need to make some extra money, Vector Marketing can help. 
&nbsp;
We have part-time and some full-time opportunities in both temporary and permanent capacities for college students, recent high school graduates, individuals needing extra income, and others. No previous experience needed; we will train you! We believe our sales representative training program is so effective that anyone who wants to be successful with us can be. 
&nbsp;
That&rsquo;s why, unlike a lot of companies, we don&rsquo;t require previous work experience or specific majors or degrees.
&nbsp;
As a member of our team, not only will you have a clear-cut direction on what it takes to succeed, you&rsquo;ll have the choice to move among several different career options &ndash; including part-time, full-time, and management.
&nbsp;
As a Sales Representative we offer you:
&nbsp;

    Excellent pay
    Training &ndash; both initial training to get you off to a good start and opportunities for on-going training when you need it
    Promotion opportunities based on merit, not tenure
    Flexible schedule that can work around family commitments, other jobs, internships, or vacation schedules
    Choice &ndash; People who work with us aren&rsquo;t limited to a single location. If you move for school, because a family member&rsquo;s job requires relocation, or any other reason you can easily transfer to an office near your new location. 

&nbsp;&nbsp;
&nbsp;


Entry Level Sales Representative (Outside Sales) 

&nbsp;


&nbsp;
&nbsp;
Job Responsibilities
&nbsp;
As a sales representative with Vector Marketing, you will present Cutco to both new and existing customers on a low-key, one-on-one basis. 
&nbsp;
We offer a minimum base pay so you don&rsquo;t feel pressured to make a sale - instead you get to focus on providing excellent service to your customers. As you excel, you&rsquo;ll have the opportunity to make more based on your results.
.
&nbsp;


Entry Level Sales Representative (Outside Sales)
",Full-Time/Part-Time,Not Specified
61204,Office Assistant,Accountemps,Portland,Oregon,"Ref ID:03600-134617Classification:Accounting ClerkCompensation:$13.00 to $15.00 per hourA local Portland company is seeking a part time Office Assistant on a temporary to hire basis. Job duties include maintaining records, making travel arrangements, filing, entering invoices and other duties as needed. Qualified candidate needs 2+ years of office experience and be proficient with Microsoft Office Suite. If you are interested in this position please submit your resume to [Click Here to Email Your Resumé].",Seasonal/Temp,Not Specified
54119,Temporary Administrative Assistant,UT SOUTHWESTERN,Dallas,Texas,"Works under general supervision to provide secretarial and clerical support for day‑to‑day operations in department 
or division office. &nbsp;
&nbsp;
ESSENTIAL FUNCTIONS&nbsp; 
1.&nbsp;&nbsp; Transcribes dictation that may involve use of medical or scientific terminology; ensures correct format, grammar, punctuation, and spelling.
2.&nbsp;&nbsp; Types correspondence, memorandums, grants, manuscripts, book chapters, etc. from complex rough drafts, which may involve special formats and complicated footnotes.&nbsp; 
3.&nbsp;&nbsp; Composes letters, memorandums, and other non‑routine correspondence for supervisor's signature.
4.&nbsp;&nbsp; Processes and submits on‑line forms; pays invoices.&nbsp; 
5.&nbsp;&nbsp; Coordinates meetings and conferences for supervisor or other staff members.&nbsp; 
6.&nbsp;&nbsp; Makes appointments and maintains supervisor's calendar; makes travel and hotel reservations for supervisor or other staff members.&nbsp; 
7.&nbsp;&nbsp; Receives, screens, and directs visitors as required; answers and makes telephone calls; transfers calls, takes messages, or answers questions as necessary, including patient related calls and appointments.&nbsp;&nbsp;&nbsp; 
8.&nbsp;&nbsp; Receives, sorts, and distributes incoming mail; makes copies; faxes documents; makes deliveries on and off campus.
9.&nbsp;&nbsp; Completes moderately complex projects and reports as requested by supervisor using word processing, spreadsheet, or database applications.
10. Retrieves articles from Library; makes copies, including performing on‑line library searches.&nbsp; 
11. Maintains various files and records for operating unit, which may include vacation/sick leave, personnel files, etc.; handles confidential and sensitive information in appropriate manner.
12. Performs other duties as assigned.&nbsp; ",Seasonal/Temp,Not Specified
2928,Calling All Experienced Executive Assistants!,OfficeTeam,Orange,California,"Ref ID: 03090-9714875Classification: Account Executive/Staffing ManagerCompensation: $16.96 to $22.48 per hourExecutive Assistants are crucial to any office! Responsibilities of Executive Assistants include keeping schedules, answering phones and taking messages, making travel arrangements, organizing and maintaining files and records, and preparing reports and correspondence. If you are an Executive Assistant searching for a new position apply online today or call OfficeTeam at 714.450.9838!",Seasonal/Temp,Not Specified
